,Entidad,Municipio,2022 AVG,Latitude,Longitude
0,Aguascalientes,Aguascalientes,2501.33,21.880487,-102.2967195
1,Aguascalientes,Asientos,73.17,22.1321072,-102.09525589618855
2,Aguascalientes,Calvillo,82.0,21.849624249999998,-102.71254273225466
3,Aguascalientes,Jesús María,275.0,21.934555500000002,-102.46845171651151
4,Aguascalientes,Pabellón de Arteaga,95.83,22.1049335,-102.30162449267488
5,Aguascalientes,Rincón de Romos,101.33,22.2293637,-102.3229846
6,Aguascalientes,San Francisco de los Romo,118.5,22.02194665,-102.25177759390428
7,Baja California,Ensenada,1075.17,31.8996598,-116.5893542
8,Baja California,Mexicali,3075.67,32.550712,-115.0335028
9,Baja California,Playas de Rosarito,379.67,32.3541256,-117.0486938
10,Baja California,San Felipe,65.5,31.0269529,-114.839607
11,Baja California,San Quintín,131.17,30.5613719,-115.938162
12,Baja California,Tecate,308.33,32.5653831,-116.6298787
13,Baja California,Tijuana,4013.33,32.5264569,-116.99990017504683
14,Baja California Sur,Comondú,110.67,26.034644,-111.83314
15,Baja California Sur,La Paz,773.5,24.1422841,-110.3126162
16,Baja California Sur,Los Cabos,737.67,22.97323205,-109.78183680647533
17,Baja California Sur,Mulegé,88.17,26.891329,-111.982641
18,Campeche,Campeche,933.0,19.8381215,-90.5198253
19,Campeche,Candelaria,58.67,18.1860719,-91.0431166
20,Campeche,Carmen,605.67,18.45282335,-91.4128517365778
21,Campeche,Champotón,104.5,19.3439655,-90.7242742
22,Campeche,Escárcega,188.83,18.606934,-90.7385823
23,Chiapas,Palenque,81.0,17.45316095,-91.81212411848196
24,Chiapas,San Cristóbal de las Casas,87.0,16.6835469,-92.61551841991157
25,Chiapas,Tapachula,188.83,14.9258055,-92.32219567868036
26,Chiapas,Tuxtla Gutiérrez,250.83,16.753801,-93.115959
27,Chihuahua,Camargo,67.17,28.0582028,-104.38010649057823
28,Chihuahua,Chihuahua,1737.33,28.6523808,-106.0902046
29,Chihuahua,Cuauhtémoc,321.33,28.4009579,-106.8665305
30,Chihuahua,Delicias,276.67,28.1909814,-105.469426
31,Chihuahua,Hidalgo del Parral,267.0,26.9287164,-105.6674058
32,Chihuahua,Jiménez,76.0,27.1256227,-104.911862
33,Chihuahua,Juárez,2965.5,28.6517723,-106.0277621
34,Chihuahua,Meoqui,79.0,28.358394150000002,-105.521525730494
35,Chihuahua,Nuevo Casas Grandes,75.67,30.4154532,-107.9058804
36,Ciudad de México,Azcapotzalco,982.67,19.4837824,-99.1844166
37,Ciudad de México,Benito Juárez,1390.83,19.3717897,-99.1579191
38,Ciudad de México,Coyoacán,1394.67,19.3500942,-99.1623319
39,Ciudad de México,Cuajimalpa de Morelos,330.5,19.3635025,-99.2887688
40,Ciudad de México,Cuauhtémoc,3023.67,19.4416128,-99.1518637
41,Ciudad de México,Gustavo A. Madero,1988.67,19.4838614,-99.1134723
42,Ciudad de México,Iztacalco,898.33,19.3962535,-99.0965875
43,Ciudad de México,Iztapalapa,2801.5,19.3591195,-99.0929294
44,Ciudad de México,La Magdalena Contreras,402.83,19.3049539,-99.241301
45,Ciudad de México,Miguel Hidalgo,1140.83,19.4075059,-99.1917103
46,Ciudad de México,Milpa Alta,232.33,19.1919839,-99.0228937
47,Ciudad de México,Tlalpan,1218.83,19.2884203,-99.1670508
48,Ciudad de México,Tláhuac,676.5,19.2703721,-99.0049033
49,Ciudad de México,Venustiano Carranza,1090.83,19.4192316,-99.1133947
50,Ciudad de México,Xochimilco,683.33,19.2634938,-99.1033663
51,Ciudad de México,Álvaro Obregón,1302.5,19.3894713,-99.1957079
52,Coahuila,Acuña,458.67,29.319604,-100.94784
53,Coahuila,Allende,51.83,28.3420816,-100.8517302
54,Coahuila,Arteaga,70.67,25.3453685,-100.68317226747521
55,Coahuila,Francisco I. Madero,90.17,26.23755265,-103.09965556876554
56,Coahuila,Frontera,100.33,26.95420855,-101.55367293636212
57,Coahuila,Matamoros,257.83,25.5292865,-103.2319968
58,Coahuila,Monclova,367.17,26.8999988,-101.4171173
59,Coahuila,Múzquiz,144.67,28.34926665,-101.67409212939157
60,Coahuila,Nava,52.33,28.4217309,-100.7674167
61,Coahuila,Parras,112.0,25.591946,-102.38397132077614
62,Coahuila,Piedras Negras,453.67,28.6974528,-100.5334724
63,Coahuila,Ramos Arizpe,173.67,25.540787,-100.9466688
64,Coahuila,Sabinas,144.83,27.942464049999998,-101.07278132672445
65,Coahuila,Saltillo,1308.0,25.4230425,-100.9927509
66,Coahuila,San Juan de Sabinas,75.83,28.0646267,-101.39035376389009
67,Coahuila,San Pedro,194.83,26.1249273,-102.77456283182991
68,Coahuila,Torreón,1440.17,25.542698,-103.410512
