,Origin,Destination,Distance,Duration
0,Acheson,Airdrie,275.3799,200.38166666666666
1,Acheson,Balzac,283.4424,204.07000000000002
2,Acheson,Calgary,306.36129999999997,221.81
3,Acheson,Edmonton,19.9815,26.041666666666668
4,Acheson,Grande Prairie,440.8077,311.815
5,Acheson,Lethbridge,510.7885,371.0933333333333
6,Acheson,Medicine Hat,567.8614,413.43833333333333
7,Acheson,Okotoks,344.0908,248.28166666666667
8,Acheson,Red Deer County,182.2713,142.23
9,Acheson,Rocky View County,266.29470000000003,195.15166666666667
10,Acheson,Sherwood Park,39.6678,40.245
11,Acheson,St. Albert,19.8965,21.555
12,Acheson,Abbotsford,1076.5215,801.4
13,Acheson,Burnaby,1129.4422,842.1483333333333
14,Acheson,Delta,1135.2022,858.7
15,Acheson,Errington,1282.2278000000001,1155.0483333333332
16,Acheson,Kamloops,787.108,607.8866666666667
17,Acheson,Kelowna,898.9854,706.6800000000001
18,Acheson,Ladysmith,1219.0901999999999,1098.3883333333333
19,Acheson,Langley,1103.8027,823.385
20,Acheson,Nanaimo,1240.9839,1120.3533333333332
21,Acheson,New Westminster,1125.2516,840.9283333333333
22,Acheson,Port Coquitlam,1122.5593000000001,837.9833333333333
23,Acheson,Richmond,1144.9187,863.84
24,Acheson,Surrey,1116.3233,834.4833333333333
25,Acheson,Vancouver,1140.6489,856.9283333333333
26,Acheson,Winnipeg,1370.3378,984.5016666666667
27,Acheson,Regina,798.725,570.1133333333333
28,Acheson,Saskatoon,542.2102,389.375
29,Acheson,Bolton,3543.8068,2459.7783333333336
30,Airdrie,Balzac,10.045200000000001,10.961666666666668
31,Airdrie,Calgary,32.9641,28.701666666666664
32,Airdrie,Edmonton,267.9045,195.965
33,Airdrie,Grande Prairie,684.7022,502.56333333333333
34,Airdrie,Lethbridge,237.3913,177.985
35,Airdrie,Medicine Hat,312.981,226.29
36,Airdrie,Okotoks,70.6936,55.17333333333333
37,Airdrie,Red Deer County,109.0468,87.025
38,Airdrie,Rocky View County,10.3194,13.508333333333333
39,Airdrie,Sherwood Park,275.58959999999996,197.82333333333332
40,Airdrie,St. Albert,287.97229999999996,206.065
41,Airdrie,Abbotsford,943.0988000000001,739.455
42,Airdrie,Burnaby,996.0195,780.2033333333333
43,Airdrie,Delta,1001.7795,796.755
44,Airdrie,Errington,1148.8052,1093.1033333333332
45,Airdrie,Kamloops,656.8057,547.4816666666667
46,Airdrie,Kelowna,625.5881999999999,513.5716666666666
47,Airdrie,Ladysmith,1085.6675,1036.4433333333334
48,Airdrie,Langley,970.38,761.44
49,Airdrie,Nanaimo,1107.5611999999999,1058.4083333333333
50,Airdrie,New Westminster,991.8289,778.9833333333333
51,Airdrie,Port Coquitlam,989.1365999999999,776.0383333333334
52,Airdrie,Richmond,1011.496,801.895
53,Airdrie,Surrey,982.9005999999999,772.5383333333334
54,Airdrie,Vancouver,1007.2262,794.9833333333333
55,Airdrie,Winnipeg,1345.3742,956.4633333333334
56,Airdrie,Regina,775.6705,544.89
57,Airdrie,Saskatoon,584.5917,451.26166666666666
58,Airdrie,Bolton,3477.3833,2406.9700000000003
59,Balzac,Calgary,24.121599999999997,22.003333333333334
60,Balzac,Edmonton,275.9232,199.67833333333334
61,Balzac,Grande Prairie,692.7208,506.27666666666664
62,Balzac,Lethbridge,228.5489,171.2866666666667
63,Balzac,Medicine Hat,304.1386,219.59166666666667
64,Balzac,Okotoks,61.8512,48.475
65,Balzac,Red Deer County,117.0654,90.73833333333333
66,Balzac,Rocky View County,20.5551,21.678333333333335
67,Balzac,Sherwood Park,283.6082,201.5366666666667
68,Balzac,St. Albert,295.991,209.77833333333334
69,Balzac,Abbotsford,934.2563,732.7566666666667
70,Balzac,Burnaby,987.177,773.505
71,Balzac,Delta,992.937,790.0566666666667
72,Balzac,Errington,1139.9627,1086.405
73,Balzac,Kamloops,647.9631999999999,540.7833333333333
74,Balzac,Kelowna,616.7456999999999,506.87333333333333
75,Balzac,Ladysmith,1076.825,1029.745
76,Balzac,Langley,961.5375,754.7416666666667
77,Balzac,Nanaimo,1098.7187,1051.71
78,Balzac,New Westminster,982.9865,772.285
79,Balzac,Port Coquitlam,980.2941,769.34
80,Balzac,Richmond,1002.6536,795.1966666666667
81,Balzac,Surrey,974.0581,765.84
82,Balzac,Vancouver,998.3838000000001,788.285
83,Balzac,Winnipeg,1336.5317,949.765
84,Balzac,Regina,766.828,538.1916666666667
85,Balzac,Saskatoon,590.2208,454.19166666666666
86,Balzac,Bolton,3468.5407999999998,2400.2716666666665
87,Calgary,Edmonton,299.0339,216.58666666666667
